artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,key_A,key_A#,key_B,key_C#,key_D,key_D#,key_E,key_F,key_F#,key_G,key_G#,mode_Major,mode_Minor
Chino Pacas,1,2023,1,27,539,21,255932395,140,74,96,80,18,0,5,5,False,False,False,False,False,False,False,False,False,True,False,False,True
Natanael Cano,1,2023,6,30,86,8,31873544,128,81,90,77,1,0,9,5,True,False,False,False,False,False,False,False,False,False,False,False,True
Peso Pluma,1,2023,5,26,324,14,95053634,122,78,70,81,57,0,10,5,False,False,False,False,False,False,False,False,False,False,False,True,False
"Don Omar, Lucenzo",2,2010,1,1,17138,37,1279434863,130,47,86,92,8,0,5,24,False,False,False,False,False,False,False,False,False,False,False,True,False
"Ana Castela, AgroPlay",2,2023,2,2,894,9,233801632,160,69,61,71,33,0,31,20,True,False,False,False,False,False,False,False,False,False,False,True,False
Bruno Mars,1,2012,12,5,1622,9,1481349984,144,73,87,70,6,0,28,5,False,False,False,False,False,False,False,True,False,False,False,True,False
"Big One, FMK, Ke personajes",3,2023,4,4,561,14,142095275,192,50,85,52,11,0,28,6,False,False,True,False,False,False,False,False,False,False,False,True,False
"Drake, 21 Savage",2,2022,6,17,5871,27,618885532,163,54,40,67,0,0,9,17,False,False,False,False,False,False,False,False,False,False,False,True,False
OneRepublic,1,2013,1,1,29215,43,2011464183,122,66,48,71,6,0,12,4,False,False,False,True,False,False,False,False,False,False,False,False,True
Justin Bieber,1,2021,3,19,5866,24,1167330737,154,61,41,74,21,0,40,6,False,False,False,False,True,False,False,False,False,False,False,True,False
Chris Brown,1,2019,10,4,3859,26,929964809,117,73,31,69,6,0,11,4,True,False,False,False,False,False,False,False,False,False,False,False,True
"Natanael Cano, Peso Pluma",2,2023,1,23,961,26,436027885,138,78,89,83,10,0,12,5,False,False,False,False,False,False,False,False,False,True,False,False,True
Daddy Yankee,1,2004,7,13,6457,18,657723613,96,86,74,80,33,0,8,6,False,False,False,False,False,False,False,False,False,False,False,True,False
"Drake, WizKid, Kyla",3,2016,4,4,43257,24,2713922350,104,77,36,63,1,0,36,5,False,False,False,True,False,False,False,False,False,False,False,True,False
Taylor Swift,1,2010,1,1,4564,16,621660989,164,45,24,62,8,0,16,3,False,False,False,False,False,False,False,False,False,False,True,True,False
The Weeknd,1,2020,3,20,12688,13,1591223784,118,68,61,82,2,0,50,3,False,False,False,False,False,False,False,False,False,False,False,True,False
Miguel,1,2010,5,25,13801,19,950906471,81,68,51,60,3,0,19,10,False,False,True,False,False,False,False,False,False,False,False,False,True
The Police,1,1983,1,6,22439,19,1593270737,117,82,73,45,54,0,7,3,False,False,False,True,False,False,False,False,False,False,False,True,False
Lord Huron,1,2015,2,2,18515,35,1410088830,174,45,10,37,97,25,64,4,False,False,False,False,True,False,False,False,False,False,False,True,False
"Rihanna, Calvin Harris",2,2011,1,1,36843,21,1235005533,128,73,60,77,3,0,11,4,False,False,False,True,False,False,False,False,False,False,False,True,False
Bruno Mars,1,2012,12,5,2420,11,1661187319,145,60,43,27,94,0,14,4,False,False,False,False,False,False,False,False,False,False,False,True,False
Alec Benjamin,1,2018,5,25,5897,19,1374581173,150,65,51,55,73,0,14,3,False,False,False,True,False,False,False,False,False,False,False,False,True
"A$AP Rocky, Metro Boomin, Roisee",3,2023,6,2,727,16,94186466,90,60,13,53,4,0,21,4,True,False,False,False,False,False,False,False,False,False,False,False,True
Arctic Monkeys,1,2013,1,1,33783,26,1788326445,85,55,42,53,17,0,22,3,False,False,False,False,False,False,False,True,False,False,False,True,False
Imagine Dragons,1,2012,1,1,26694,13,1840364617,180,33,38,71,20,0,28,5,False,False,False,False,False,True,False,False,False,False,False,True,False
YOASOBI,1,2023,4,12,356,16,143573775,166,57,84,94,11,0,37,9,False,False,False,True,False,False,False,False,False,False,False,True,False
The Weeknd,1,2016,11,25,6518,17,684675814,160,71,40,50,16,0,16,22,False,False,False,False,False,False,False,False,False,False,True,True,False
Taylor Swift,1,2014,1,1,21335,13,1113838873,160,65,95,80,5,0,41,16,False,False,False,False,False,False,False,False,False,True,False,True,False
Arctic Monkeys,1,2013,1,1,23389,29,1267333350,92,70,81,63,4,0,8,4,False,False,False,False,True,False,False,False,False,False,False,True,False
Rosa Linn,1,2022,3,19,3202,18,726307468,170,56,53,64,11,0,45,6,False,False,False,False,False,False,False,False,False,False,False,True,False
Ed Sheeran,1,2017,1,6,32181,10,3562543890,96,83,93,65,58,0,9,8,False,False,False,True,False,False,False,False,False,False,False,False,True
One Direction,1,2014,11,17,7124,18,1131090940,120,67,40,52,86,0,12,4,False,False,False,False,False,False,False,False,False,False,True,True,False
"Oscar Maydon, Junior H",2,2023,1,13,592,14,307370144,98,70,37,54,6,0,9,8,False,False,False,False,False,False,False,False,False,False,False,True,False
Radiohead,1,1992,9,21,36724,7,1271293243,92,53,12,34,1,0,12,4,False,False,False,False,False,False,False,False,False,True,False,True,False
James Arthur,1,2019,10,18,794,10,265882712,150,34,24,56,4,0,11,3,True,False,False,False,False,False,False,False,False,False,False,True,False
